File Name,Positive Score,Negative Score,Polarity Score,Subjectivity Score,Avg Sentence Length,Percentage of Complex Words,Fog Index,Avg Words Per Sentence,Complex Word Count,Word Count,Syllable Per Word,Personal Pronouns,Avg Word Length
blackassign0087,22,41,-0.301587297,0.03030303,28.875,0.294853295,11.66794132,28.875,613,2079,1.698412698,0,6.006253006
blackassign0088,21,43,-0.343749995,0.043214045,23.50793651,0.288318704,9.518502085,23.50793651,427,1481,1.693450371,2,6.001350439
blackassign0089,41,46,-0.057471264,0.056751468,18.46987952,0.292889759,7.505107711,18.46987952,449,1533,1.730593607,0,5.990215264
blackassign0090,29,27,0.035714285,0.038808039,30.70212766,0.306306306,12.40337359,30.70212766,442,1443,1.801108801,0,6.197505198
blackassign0091,26,37,-0.174603172,0.034072472,26.41428571,0.271498107,10.67431353,26.41428571,502,1849,1.630070308,1,5.974040022
blackassign0092,10,5,0.333333311,0.01510574,47.28571429,0.283987915,19.02788088,47.28571429,282,993,1.671701913,0,5.876132931
blackassign0093,37,49,-0.139534882,0.054190296,20.61038961,0.275362319,8.354300772,20.61038961,437,1587,1.662255829,0,5.853182105
blackassign0094,12,25,-0.351351342,0.028179741,27.93617021,0.268849962,11.28200807,27.93617021,353,1313,1.614623001,0,5.847677075
blackassign0095,34,55,-0.235955054,0.056905371,25.63934426,0.312659847,10.38080164,25.63934426,489,1564,1.802429668,2,6.261508951
blackassign0096,27,34,-0.114754096,0.042717087,28,0.280112045,11.31204482,28,400,1428,1.651960784,1,5.850140056
blackassign0097,11,2,0.692307639,0.010851419,36.3030303,0.31803005,14.64842414,36.3030303,381,1198,1.722036728,0,6.062604341
blackassign0098,19,3,0.727272694,0.016578749,28.23404255,0.27279578,11.40273533,28.23404255,362,1327,1.616428033,0,5.902034665
blackassign0099,39,55,-0.170212764,0.057881773,36.90909091,0.291871921,14.88038513,36.90909091,474,1624,1.681034483,0,6.091748768
blackassign0100,,,,,,,,,,,,,
